epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,3799.84,0.90983,1.56048,0.80162,1.10683,0,0.67855,0.72397,0.70104,0.4402,0.65216,0.71163,0.68672,0.34897,1.23272,3.2414,1.06878,1.32463,0,0.000618875,0.000618875,0.000618875
53,3871.33,0.892,1.54115,0.79279,1.09447,0,0.70784,0.69659,0.69165,0.45863,0.73351,0.70807,0.71028,0.3815,1.20674,3.31015,1.10324,1.29129,0,0.0006065,0.0006065,0.0006065
54,3943.08,0.89523,1.56509,0.7947,1.09763,0,0.66192,0.71909,0.69808,0.44422,0.67527,0.70668,0.69943,0.37305,1.26962,3.52086,1.11685,1.31351,0,0.000594125,0.000594125,0.000594125
55,4015.3,0.885,1.5291,0.77331,1.0918,0,0.68438,0.6271,0.66901,0.43414,0.70251,0.62716,0.67458,0.34867,1.25052,3.03219,1.17372,1.30344,0,0.00058175,0.00058175,0.00058175
56,4087.6,0.89637,1.55159,0.78196,1.09596,0,0.72744,0.66701,0.71904,0.46997,0.70818,0.66259,0.7122,0.39307,1.20057,3.09837,1.08397,1.28112,0,0.000569375,0.000569375,0.000569375
57,4159.93,0.89847,1.52329,0.77275,1.093,0,0.72572,0.66509,0.70061,0.45161,0.71494,0.6834,0.68976,0.37241,1.18345,3.43931,1.1251,1.27296,0,0.000557,0.000557,0.000557
58,4232.41,0.88104,1.52686,0.76583,1.08752,0,0.72967,0.69472,0.69658,0.45668,0.72462,0.69097,0.69237,0.37647,1.21123,3.09325,1.07154,1.31626,0,0.000544625,0.000544625,0.000544625
59,4304.92,0.8668,1.50899,0.75293,1.0861,0,0.73094,0.69811,0.71218,0.45531,0.74127,0.70708,0.70743,0.37874,1.24035,3.30932,1.09575,1.33131,0,0.00053225,0.00053225,0.00053225
60,4378.69,0.88437,1.52874,0.77185,1.08968,0,0.75469,0.67103,0.7187,0.45888,0.76833,0.67577,0.73522,0.36626,1.25255,3.45875,1.08292,1.33455,0,0.000519875,0.000519875,0.000519875
61,4451.85,0.8545,1.48537,0.72799,1.07351,0,0.72695,0.69586,0.72601,0.45758,0.75884,0.6604,0.71111,0.37201,1.26213,3.77882,1.07245,1.31119,0,0.0005075,0.0005075,0.0005075
62,4523.23,0.85131,1.48137,0.73161,1.07826,0,0.74726,0.67768,0.723,0.45963,0.75735,0.67883,0.72351,0.38344,1.28911,3.4213,1.08651,1.33884,0,0.000495125,0.000495125,0.000495125
63,4594.8,0.86601,1.47398,0.73003,1.08012,0,0.69772,0.72405,0.723,0.45691,0.70036,0.72741,0.724,0.37307,1.22883,3.74928,1.04934,1.31411,0,0.00048275,0.00048275,0.00048275
64,4667.77,0.84625,1.48813,0.7268,1.06814,0,0.70383,0.73678,0.71741,0.45569,0.71137,0.71458,0.70976,0.37365,1.2088,3.45842,1.06442,1.30544,0,0.000470375,0.000470375,0.000470375
65,4739.36,0.84885,1.47333,0.72541,1.06988,0,0.71984,0.66548,0.70554,0.44863,0.71964,0.65799,0.6927,0.36894,1.21663,3.38271,1.05506,1.30591,0,0.000458,0.000458,0.000458
66,4811.4,0.84037,1.45066,0.71797,1.06614,0,0.75796,0.67072,0.72235,0.46954,0.75549,0.67068,0.71719,0.38711,1.19675,3.71747,1.05543,1.29543,0,0.000445625,0.000445625,0.000445625
67,4883.71,0.83954,1.44191,0.69534,1.06267,0,0.73329,0.69594,0.71507,0.44279,0.74225,0.70258,0.71539,0.36992,1.22061,3.5195,1.05145,1.32985,0,0.00043325,0.00043325,0.00043325
68,4954.44,0.84265,1.47468,0.72589,1.06779,0,0.72954,0.70807,0.70627,0.43676,0.73733,0.7178,0.70488,0.36497,1.25171,3.50607,1.07669,1.34678,0,0.000420875,0.000420875,0.000420875
69,5025.1,0.83354,1.44231,0.71066,1.05891,0,0.70359,0.7276,0.729,0.45992,0.73084,0.70395,0.72844,0.37543,1.23388,3.83617,1.04394,1.32683,0,0.0004085,0.0004085,0.0004085
70,5095.95,0.82696,1.43017,0.69065,1.06602,0,0.71934,0.72429,0.71406,0.45128,0.73598,0.73912,0.7149,0.37378,1.19836,3.56566,1.07298,1.29388,0,0.000396125,0.000396125,0.000396125
