epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,5650.26,0.91187,1.59136,0.82336,1.11391,0,0.74353,0.67467,0.73404,0.46658,0.73848,0.67147,0.71641,0.37999,1.25168,2.7725,1.11985,1.30624,0,0.0004654,0.0004654,0.0004654
56,5739.61,0.9271,1.63013,0.8485,1.11564,0,0.7009,0.72663,0.75106,0.47304,0.77351,0.64246,0.72595,0.38599,1.22818,2.60255,1.04123,1.30701,0,0.0004555,0.0004555,0.0004555
57,5829.13,0.91575,1.58589,0.81522,1.11146,0,0.72733,0.69255,0.73924,0.48231,0.76803,0.69893,0.75281,0.40981,1.23638,2.5878,1.03737,1.33564,0,0.0004456,0.0004456,0.0004456
58,5918.71,0.91009,1.59866,0.83386,1.11785,0,0.7327,0.67225,0.7192,0.45659,0.74676,0.68101,0.71943,0.3758,1.27356,2.73155,1.1075,1.33646,0,0.0004357,0.0004357,0.0004357
59,6007.45,0.9143,1.59265,0.81342,1.10986,0,0.74024,0.66695,0.71653,0.45462,0.74139,0.67486,0.71353,0.37302,1.24001,2.55944,1.09457,1.31515,0,0.0004258,0.0004258,0.0004258
60,6095.33,0.89956,1.57795,0.80194,1.10534,0,0.76326,0.68134,0.75069,0.48792,0.76783,0.68812,0.74474,0.40561,1.20148,2.45245,1.03435,1.30565,0,0.0004159,0.0004159,0.0004159
61,6184.7,0.9088,1.5822,0.80886,1.10641,0,0.74958,0.68276,0.71375,0.45909,0.73177,0.66169,0.6898,0.36394,1.25661,2.59568,1.10601,1.33395,0,0.000406,0.000406,0.000406
62,6273.39,0.88077,1.54106,0.77585,1.09324,0,0.77395,0.67092,0.73466,0.47527,0.76457,0.68173,0.7277,0.40348,1.23283,2.5173,1.03503,1.32218,0,0.0003961,0.0003961,0.0003961
63,6362.26,0.88845,1.55681,0.77927,1.10481,0,0.68388,0.71397,0.72859,0.47447,0.74491,0.67359,0.73329,0.39187,1.22378,2.61888,1.03774,1.30697,0,0.0003862,0.0003862,0.0003862
64,6450.91,0.88127,1.55251,0.76293,1.09844,0,0.75117,0.69913,0.75643,0.47717,0.74669,0.70142,0.74415,0.39485,1.24374,2.62737,1.05445,1.32966,0,0.0003763,0.0003763,0.0003763
65,6537.69,0.87708,1.51423,0.77711,1.09302,0,0.72124,0.70412,0.73777,0.46877,0.71783,0.70044,0.72329,0.39961,1.2316,2.66753,1.06634,1.33215,0,0.0003664,0.0003664,0.0003664
66,6626.6,0.85691,1.5335,0.75583,1.08662,0,0.77085,0.69762,0.73939,0.46883,0.7638,0.68773,0.72295,0.38911,1.26995,2.82733,1.05743,1.3481,0,0.0003565,0.0003565,0.0003565
67,6715.75,0.87308,1.51084,0.76118,1.08438,0,0.75105,0.67331,0.7366,0.47082,0.78208,0.66856,0.72814,0.39484,1.21992,2.75479,1.0822,1.31795,0,0.0003466,0.0003466,0.0003466
68,6804.59,0.86195,1.50306,0.75622,1.08434,0,0.7589,0.74226,0.74619,0.47776,0.76355,0.73443,0.73981,0.39677,1.2355,2.62685,1.03979,1.33321,0,0.0003367,0.0003367,0.0003367
69,6891.68,0.86745,1.50238,0.75666,1.09224,0,0.74903,0.72473,0.7556,0.48101,0.74429,0.73292,0.74571,0.40018,1.22401,2.7277,1.02858,1.33377,0,0.0003268,0.0003268,0.0003268
70,6979.56,0.84987,1.49725,0.74323,1.08087,0,0.72946,0.71905,0.72298,0.46603,0.76782,0.6858,0.71891,0.38798,1.23427,2.67737,0.99935,1.31835,0,0.0003169,0.0003169,0.0003169
71,7068.23,0.85052,1.53267,0.74648,1.0838,0,0.7672,0.63701,0.69565,0.44058,0.70627,0.6805,0.68435,0.36894,1.27119,2.77588,1.09988,1.34432,0,0.000307,0.000307,0.000307
